Antal år nåletræer har eksisteret; 150_000_000
Træer i verden; 3_000_000_000_000
Udledning fra Taylor Swifts privatfly i første halvdel af 2022 i kg CO2; 8_293_540
Danmarks samlede elforbrug d. 24. december 2022 i KWh; 93_793_000
Tesla'er solgt i Danmark før november 2023; 55_075
Afstand i km mellem Jorden og Mars, når de er tættest på hinanden; 54_600_000
Tweets tweetet i 2023; 190_000_000_000
Aktive dating-app-profiler i 2022; 337_300_000
Kondomer solgt på verdensplan om året; 7_500_000_000
Børn født i Indien i 2022; 23_000_000
Rubler per amerikansk dollar, da den russiske økonomi var værst i 2022; 127
Danskernes forventede indkøb af fyrværkeri i 2023 i kroner; 450_000_000
Ord i en arabisk Koran; 157_935
